,2,3,24,25
319,53,53,54,100
320,48,48,100,100
321,48,49,100,100
322,48,51,99,51
323,54,98,52,55
324,102,102,48,49
325,48,48,100,100
326,48,49,100,100
327,48,48,100,100
328,48,57,100,100
329,50,50,52,57
330,102,102,48,49
331,48,48,100,100
332,53,52,50,48
333,51,100,102,101
334,102,102,48,49
335,48,49,100,100
336,52,53,55,51
337,98,57,52,97
338,53,52,50,48
339,48,48,100,100
340,48,55,97,99
341,48,48,100,100
342,48,48,100,100
343,50,49,49,98
344,48,51,97,56
345,48,48,100,100
346,48,48,100,100
347,102,102,48,49
348,48,48,100,100
349,52,50,50,55
350,48,48,100,100
351,48,48,100,100
352,48,48,100,100
353,48,51,102,97
354,51,52,101,99
355,48,48,100,100
356,49,52,99,98
357,48,48,100,100
358,102,102,48,49
359,56,51,55,51
360,48,48,100,100
361,53,52,50,48
362,48,51,100,101
363,48,48,100,100
364,53,53,54,100
365,53,52,50,48
366,102,102,48,49
367,97,54,101,56
368,49,52,55,57
369,51,52,48,48
370,48,49,100,100
371,52,53,55,51
372,52,102,54,99
373,48,48,100,100
374,48,48,100,100
375,102,102,48,49
376,48,101,53,54
377,48,48,100,100
378,55,100,99,98
379,100,57,48,56
380,48,48,100,100
381,48,48,100,100
382,48,48,100,100
383,53,48,102,101
384,48,51,50,52
385,48,56,100,100
386,53,53,54,100
387,48,51,100,56
388,52,53,55,51
389,48,51,54,55
390,53,52,50,48
391,53,55,49,56
392,98,97,56,51
393,48,48,100,100
394,48,51,102,57
395,102,102,48,49
396,48,48,100,100
397,48,48,100,100
398,52,53,50,100
399,48,48,100,100
400,102,102,48,49
401,48,48,100,100
402,48,51,54,57
403,48,48,100,100
404,48,48,100,100
405,48,49,100,100
406,53,52,50,48
407,48,51,56,102
408,102,102,48,49
409,52,53,55,51
410,48,48,100,100
411,102,102,48,49
412,52,53,55,51
413,48,48,100,100
414,50,50,52,57
415,48,51,48,55
416,48,51,50,98
417,99,51,98,100
418,52,102,53,101
419,48,48,100,100
420,48,48,100,100
421,55,97,100,50
422,48,48,100,100
423,102,102,48,49
424,48,48,100,100
425,48,48,100,100
426,53,52,99,98
427,48,48,100,100
428,53,52,50,48
429,48,48,100,100
430,50,50,52,57
431,97,57,99,99
432,52,53,50,100
433,48,48,100,100
434,48,51,51,56
435,98,50,54,50
436,102,102,48,49
437,56,57,49,53
438,52,53,55,51
439,102,102,48,49
440,48,48,100,100
441,48,48,100,100
442,48,48,100,100
443,102,102,48,49
444,48,49,100,100
445,102,102,48,49
446,53,52,50,48
447,48,48,100,100
448,52,53,55,51
449,101,101,53,51
450,50,50,52,57
451,48,48,100,100
452,48,48,100,100
453,48,51,57,97
454,102,102,48,49
455,102,102,48,49
456,102,53,53,48
457,102,102,48,49
458,102,102,48,49
459,48,57,100,100
460,48,48,100,100
461,100,102,53,51
462,102,102,48,49
463,102,102,48,49
464,55,101,56,48
465,53,52,50,48
466,102,102,48,49
467,48,48,100,100
468,48,48,100,100
469,48,48,100,100
470,48,48,100,100
471,48,55,97,99
472,48,48,100,100
473,48,48,100,100
474,48,48,100,100
475,102,102,48,49
476,57,101,57,52
477,52,53,54,100
478,102,102,48,49
479,48,51,53,57
480,102,102,48,49
481,48,48,100,100
482,49,51,98,98
483,48,51,98,101
484,102,102,48,49
485,102,102,48,49
486,48,51,49,97
487,53,52,50,48
488,54,102,55,50
489,48,51,53,55
490,48,48,100,100
491,55,97,55,102
492,48,48,100,100
493,102,102,48,49
494,99,101,101,55
495,48,48,100,100
496,48,48,100,100
497,102,102,48,49
498,102,102,48,49
499,48,49,100,100
500,48,48,100,100
501,48,48,100,100
502,48,49,100,100
503,102,102,48,49
504,48,48,100,100
505,48,48,100,100
506,48,48,100,100
507,53,52,50,48
508,102,102,48,49
509,48,48,100,100
510,102,102,48,49
511,48,48,100,100
512,48,56,100,100
513,48,49,100,100
514,55,57,54,54
515,48,48,100,100
516,102,102,48,49
517,102,102,48,49
518,48,48,100,100
519,49,49,54,50
520,51,101,53,49
521,102,102,48,49
522,48,51,57,49
523,48,48,100,100
524,48,48,100,100
525,48,48,100,100
526,102,102,48,49
527,48,48,100,100
528,100,55,51,52
529,48,51,54,49
530,48,51,98,55
531,98,56,49,99
532,48,51,100,101
533,52,53,55,51
534,48,48,100,100
535,48,51,55,52
536,102,102,48,49
537,102,102,48,49
538,102,102,48,49
539,48,55,97,99
540,55,97,99,99
541,48,48,100,100
542,48,48,100,100
543,52,53,55,51
544,48,48,100,100
545,102,102,48,49
546,102,102,48,49
547,52,56,49,53
548,102,102,48,49
549,102,102,48,49
550,102,101,48,49
551,48,48,100,100
552,48,51,52,54
553,52,100,100,57
554,48,56,100,100
555,55,55,57,52
556,48,51,99,102
557,99,50,48,53
558,48,48,100,100
559,48,51,101,101
560,53,50,100,48
561,48,49,100,100
562,102,102,48,49
563,48,49,100,100
564,54,99,56,50
565,54,56,56,100
566,56,101,56,101
567,102,102,48,49
568,49,54,52,97
569,102,102,48,49
570,53,53,54,100
571,53,49,52,56
572,48,51,101,57
573,54,52,56,56
574,48,48,100,100
575,50,50,52,57
576,102,102,48,49
577,102,102,48,49
578,48,48,100,100
579,53,53,54,100
580,53,53,54,100
581,48,51,102,99
582,48,48,100,100
583,50,50,52,57
584,57,57,50,102
585,48,48,100,100
586,51,49,99,49
587,48,48,100,100
588,48,48,51,102
589,99,53,97,53
590,102,102,48,49
591,57,49,52,53
592,50,98,100,57
593,102,102,48,49
594,54,52,100,52
595,48,49,100,100
596,48,51,53,52
597,48,51,102,97
598,51,50,98,56
599,48,48,100,100
600,102,53,53,99
601,102,102,48,49
602,48,51,55,51
603,102,102,48,49
604,48,56,100,100
605,48,48,100,100
606,55,48,102,101
607,52,53,50,100
608,48,56,100,100
609,50,50,52,57
610,51,52,51,56
611,48,51,54,54
612,48,48,100,100
613,102,102,48,49
614,48,48,100,100
615,48,51,51,52
616,48,51,53,102
617,48,51,52,55
618,48,48,100,100
619,48,48,100,100
620,51,52,48,48
621,52,53,50,100
622,53,53,54,100
623,50,50,52,57
624,48,48,100,100
625,48,48,100,100
626,48,51,49,53
627,48,48,100,100
628,50,50,52,57
629,102,102,48,49
630,48,48,100,100
631,48,48,100,100
632,48,49,100,100
633,48,48,100,100
634,53,48,56,57
635,48,51,48,102
636,48,48,100,100
637,48,56,100,100
638,48,56,100,100
639,102,102,48,49
640,52,53,50,100
641,48,48,100,100
642,48,48,100,100
643,102,102,48,49
644,102,101,52,101
645,50,50,52,57
646,102,102,48,49
647,48,48,100,100
648,48,56,100,100
649,53,52,50,48
650,48,48,100,100
651,53,52,50,48
652,48,56,100,100
653,48,48,100,100
654,48,48,100,100
655,48,48,100,100
