PC1,New_Column
2.5601335141001167,1.0
3.296682775540586,1.0
3.0133521967829773,1.0
5.3148805644941595,1.0
3.809288771081977,1.0
4.11905776616197,1.0
2.1756979598735184,1.0
3.0762275092991938,1.0
5.526295525459847,1.0
-3.5504659432388053,-1.0
5.935727655214695,1.0
-3.291853857546418,-1.0
-3.555422998412708,-1.0
-3.624481251608972,-1.0
3.8669090081964006,1.0
-3.6671748671772564,-1.0
-3.544634391555082,-1.0
-3.4040796451598645,-1.0
-3.7023745144879103,-1.0
3.706343038284324,1.0
-3.4755317315521568,-1.0
4.343010943696837,1.0
5.8257424512617835,1.0
-3.279635186669257,-1.0
-3.681973694053581,-1.0
3.7427294869200187,1.0
3.7153925525031055,1.0
2.5936621817875283,1.0
3.942922960132814,1.0
-3.8347936003718135,-1.0
-3.736017445846608,-1.0
-3.781533387177323,-1.0
5.7307315327466615,1.0
3.6313427711353596,1.0
-3.5628853819827118,-1.0
2.8490285954364394,1.0
-3.775436390492656,-1.0
2.5854853602111847,1.0
3.4582290905655237,1.0
3.1202026624826087,1.0
3.6741320162582243,1.0
2.8202395874056574,1.0
4.156502913707052,1.0
4.431047044636528,1.0
-3.714107298442417,-1.0
3.386955851257351,1.0
-3.596632546750784,-1.0
2.611067072760054,1.0
-3.56662870226194,-1.0
-3.5926889781723634,-1.0
4.1095502326051765,1.0
3.524379237070406,1.0
3.168318316197817,1.0
5.41429490051738,1.0
-3.5845414012993158,-1.0
-3.390273744084439,-1.0
3.3765197484782643,1.0
3.245166222861782,1.0
-2.2083449159392963,-1.0
3.7007428861736926,1.0
-3.824296723311154,-1.0
-3.68504732659532,-1.0
-2.006663062752983,-1.0
3.883014079223635,1.0
3.9645704871762524,1.0
3.077322057897399,1.0
-2.3540599098878614,-1.0
2.4005584221231073,1.0
4.1289543271330675,1.0
3.4506128756056564,1.0
-3.580118528157723,-1.0
4.25378068251226,1.0
2.761249004842541,1.0
4.024694515046938,1.0
2.5107532008190434,1.0
3.5900953833196603,1.0
-3.545667065834075,-1.0
-3.30543932329552,-1.0
-1.7750361519175155,-1.0
3.884313540638963,1.0
3.3784804515328104,1.0
2.6550758688631744,1.0
3.599679910733952,1.0
-3.664384956303999,-1.0
2.5477220985740803,1.0
3.2256312462220973,1.0
-3.5189850413333836,-1.0
3.3136822418273026,1.0
1.487116053513702,1.0
2.1904466558319555,1.0
3.6138149671845676,1.0
-3.6460111612718316,-1.0
-2.726093559143199,-1.0
-3.791678450906225,-1.0
5.199562678983338,1.0
-3.851331765289563,-1.0
3.2125105547689246,1.0
4.305833217247709,1.0
3.797680273138352,1.0
-3.878284494527569,-1.0
-3.963742451156318,-1.0
-3.9187892809528804,-1.0
3.876443623578763,1.0
-3.6943088903963237,-1.0
-3.3724855226767696,-1.0
5.675176968296445,1.0
-1.9517222749072198,1.0
-1.8009612728202404,-1.0
-3.5639565609552486,-1.0
-3.536733881266616,-1.0
1.6766793914622302,1.0
3.318277307678183,1.0
-3.1333632172113415,-1.0
-3.1821234158487846,-1.0
2.8775209190217086,1.0
-3.6484615541388337,-1.0
-3.3709209788273107,-1.0
4.059949180357984,1.0
-1.7442559981152788,1.0
3.026847234081522,1.0
3.302506035333042,1.0
-3.3472882164617035,-1.0
-3.598191780944751,-1.0
2.1485400662499505,1.0
-3.6098074980283794,-1.0
3.6338945155875697,1.0
-3.4433859187290885,-1.0
-3.6247333386915566,-1.0
5.271551053548641,1.0
-3.6610449112282346,-1.0
-3.803119088313917,-1.0
-3.5586232546180154,-1.0
-3.6321411779802784,-1.0
-3.7821227566113613,-1.0
4.312356532742309,1.0
3.600602455364876,1.0
-2.083218707268729,1.0
2.1309371167305957,1.0
-3.6260836383710493,-1.0
3.4379152424653205,1.0
3.958432982188484,1.0
2.7375494969292853,1.0
-4.027437761882441,-1.0
-3.4704359021095286,-1.0
3.2985899524010844,1.0
3.278365285882136,1.0
4.020488821230569,1.0
-2.496117616266816,-1.0
5.756061218284112,1.0
-3.299087555690852,-1.0
2.250987317165621,1.0
-3.5254092339526935,-1.0
-3.30543932329552,-1.0
-3.839325271236529,-1.0
2.961377845361568,1.0
2.8032849487276637,1.0
4.090496015749754,1.0
-2.214916670422742,-1.0
-3.373420786188804,-1.0
-3.9296642206732204,-1.0
-3.8017616251933553,-1.0
-3.5992017822437514,-1.0
-3.606238332700037,-1.0
3.8711207676599817,1.0
-3.7389388356664983,-1.0
3.0267961415787132,1.0
3.5318357956650805,1.0
2.9990312096799947,1.0
2.5173845898701046,1.0
-3.35580987929903,-1.0
-2.1096663968022797,-1.0
-3.6483445469093536,-1.0
-3.611311554704105,-1.0
3.5795852279478466,1.0
-3.6321411779802784,-1.0
3.105990287275235,1.0
-3.452450652839818,-1.0
4.355181366706479,1.0
4.900351913718939,1.0
4.144984725099576,1.0
3.7390355544546203,1.0
1.6223385090877018,1.0
3.0309488821160993,1.0
4.137320276393707,1.0
-3.5291615346813954,-1.0
-4.290816710797613,-1.0
3.8309565224701387,1.0
-3.361692797518566,-1.0
-3.481670623591649,-1.0
-3.6098074980283794,-1.0
-3.8755010051751206,-1.0
-2.9910235574495183,-1.0
-3.2939614134053614,-1.0
-3.14006786055104,-1.0
2.472723611650647,1.0
0.9077706992626405,1.0
-3.5982097349830653,-1.0
-3.669091769749835,-1.0
4.6307954482883815,1.0
2.951673702563691,1.0
-3.5315409362364836,-1.0
-3.4101825571642306,-1.0
3.2725382545931994,1.0
-3.997369347597168,-1.0
-3.30543932329552,-1.0
4.053948366310501,1.0
-3.686508509405,-1.0
-1.8284136985157295,-1.0
-3.138916953480265,-1.0
-3.8835465508274125,-1.0
1.9117893907661445,1.0
-3.531007724387781,-1.0
4.41532040930601,1.0
-3.6679152434738707,-1.0
3.9107497209635924,1.0
5.694038187703809,1.0
2.189927803172494,1.0
3.013797592067631,1.0
4.441878709739046,1.0
-3.5102980367374443,-1.0
3.1878860310189605,1.0
3.7053639150666835,1.0
-3.282431574653747,-1.0
-3.510690669918192,-1.0
4.4909437072696425,1.0
-3.4492571390627442,-1.0
-3.625532495296434,-1.0
1.1053205922973743,1.0
-1.8284136985157295,-1.0
3.8183187584992626,1.0
-3.6635214439439996,-1.0
-3.5506080990302347,-1.0
4.03849086981222,1.0
-3.4030528029698806,-1.0
3.156458694514458,1.0
3.8791093283066815,1.0
3.361859473619948,1.0
-3.9461411402735727,-1.0
3.8953764194421825,1.0
-2.6781365910526387,-1.0
2.8260971437559608,1.0
2.4124108303882053,1.0
-3.813641567128873,-1.0
3.6342378417407586,1.0
-3.6282847234426665,-1.0
-3.5365423841781674,-1.0
-3.6321411779802784,-1.0
3.887240346235842,1.0
1.9262872925024497,1.0
3.778724334910001,1.0
-3.689675492818772,-1.0
-3.4673101244341584,-1.0
3.7191940969440243,1.0
-3.7192941005512403,-1.0
